RV Type,Manufacturer,Model Name,Trim,Leveling System,Year,Product,Pack,URL,Product Handle,SKU,Notes,Status,Status
Fifth Wheel,Coachmen,Brookstone,344FL,LCI/Lippert,2020,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Brookstone,395RL,LCI/Lippert,2018,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Brookstone Diamond,367RL,LCI/Lippert,2013,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,Sale,
Fifth Wheel,Coachmen,Chaparral,27RKS,LCI/Lippert,2020,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Fifth Wheel,Coachmen,Chaparral,289RLS,LCI/Lippert,2020,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,Sale,
Fifth Wheel,Coachmen,Chaparral,298RLS,LCI/Lippert,2019,XTRA,4 Pack,https://rvsnappad.com/collections/xtra/products/xtra-4-pack,xtra-4-pack,XTRSP4,,,
Fifth Wheel,Coachmen,Chaparral,336TSIK,LCI/Lippert,2019,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,336TSIK,LCI/Lippert,2020,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,Sale,
Fifth Wheel,Coachmen,Chaparral,360IBL,LCI/Lippert,2015,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,360IBL,LCI/Lippert,2018,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,360IBL,LCI/Lippert,2019,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,373MBRB,LCI/Lippert,2019,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,381RD,LCI/Lippert,2018,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
Fifth Wheel,Coachmen,Chaparral,391QSMB,LCI/Lippert,2018,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,Sale,
Fifth Wheel,Coachmen,Chaparral,391QSMB,LCI/Lippert,2017,XTRA,6 Pack,https://rvsnappad.com/collections/xtra/products/xtra-6-pack,xtra-6-pack,XTRSP6,,,
